date,us_score,tw_score,divergence
2010-01-04,,,
2010-01-05,,,
2010-01-06,,,
2010-01-07,,,
2010-01-08,,,
2010-01-11,,,
2010-01-12,,,
2010-01-13,,,
2010-01-14,,,
2010-01-15,,,
2010-01-19,,,
2010-01-20,,,
2010-01-21,,,
2010-01-22,,,
2010-01-25,,,
2010-01-26,,,
2010-01-27,,,
2010-01-28,,,
2010-01-29,,,
2010-02-01,,,
2010-02-02,,,
2010-02-03,,,
2010-02-04,,,
2010-02-05,,,
2010-02-08,,,
2010-02-09,,,
2010-02-10,,,
2010-02-11,,,
2010-02-12,,,
2010-02-16,,,
2010-02-17,,,
2010-02-18,,,
2010-02-19,,,
2010-02-22,,,
2010-02-23,,,
2010-02-24,,,
2010-02-25,,,
2010-02-26,,,
2010-03-01,,,
2010-03-02,,,
2010-03-03,,,
2010-03-04,,,
2010-03-05,,,
2010-03-08,,,
2010-03-09,,,
2010-03-10,,,
2010-03-11,,,
2010-03-12,,,
2010-03-15,,,
2010-03-16,,,
2010-03-17,,,
2010-03-18,,,
2010-03-19,,,
2010-03-22,,,
2010-03-23,,,
2010-03-24,,,
2010-03-25,,,
2010-03-26,,,
2010-03-29,,,
2010-03-30,75.85339449168876,84.11650241679662,8.26310792510786
2010-03-31,70.16793908527352,75.90418029978399,5.736241214510471
2010-04-01,68.5173129009499,76.0825920246377,7.565279123687802
2010-04-05,70.09491967768639,86.67683594070758,16.581916263021185
2010-04-06,72.12253100126398,83.49010826953611,11.367577268272129
2010-04-07,65.0103848895719,68.25110711725199,3.240722227680095
2010-04-08,65.78908025714217,71.13676357972625,5.347683322584075
2010-04-09,65.77622001491041,69.3172220108544,3.5410019959439865
2010-04-12,69.19644537464019,67.79714893293672,1.39929644170347
2010-04-13,68.33182753403122,65.81012708247792,2.5217004515533006
2010-04-14,72.10644425614535,71.58689400566925,0.5195502504761009
2010-04-15,69.5287784135431,69.25327904524623,0.27549936829686317
2010-04-16,64.30844750631597,64.27680056163682,0.031646944679152966
2010-04-19,68.12634202601684,68.38374450871521,0.2574024826983674
2010-04-20,73.7980982290295,69.63826075069724,4.159837478332264
2010-04-21,69.09519215574406,61.08541087427574,8.009781281468321
2010-04-22,70.43796826357018,65.75127304819158,4.686695215378606
2010-04-23,68.14353245390758,67.65332702339927,0.4902054305083112
2010-04-26,65.65139551984733,67.26565837184539,1.6142628519980633
2010-04-27,39.23399372044152,44.70624819886195,5.472254478420432
2010-04-28,53.77917418933614,54.86230141867293,1.0831272293367888
2010-04-29,61.003002291030626,54.790739780520525,6.212262510510101
2010-04-30,50.10589189179685,41.181718714825244,8.924173176971607
2010-05-03,54.60820891198337,47.81031059002885,6.79789832195452
2010-05-04,44.41610762914348,34.93255795087146,9.48354967827202
2010-05-05,41.89262263098557,38.73870508278166,3.153917548203914
2010-05-06,24.602223840609433,23.770260689655192,0.8319631509542411
2010-05-07,22.53942292845136,28.24736537297005,5.707942444518693
2010-05-10,36.051304004501,30.54627711467851,5.505026889822489
2010-05-11,32.49010692398595,30.142669038254716,2.3474378857312317
2010-05-12,37.02740399909549,28.48842538026557,8.538978618829919
2010-05-13,34.0703566411056,31.67940338455724,2.3909532565483573
2010-05-14,28.09291478588151,20.99104060475008,7.101874181131432
2010-05-17,30.124187777679904,27.11193547679825,3.012252300881652
2010-05-18,24.834667176160796,21.82928756947546,3.0053796066853344
2010-05-19,26.35683967831256,28.361170382826295,2.004330704513734
2010-05-20,20.145275026174783,21.458232827063693,1.3129578008889098
2010-05-21,23.936099351374978,28.134670629246475,4.198571277871498
2010-05-24,21.021928797714438,18.700702485447685,2.3212263122667522
2010-05-25,25.96515129004599,25.339036478583616,0.6261148114623758
2010-05-26,24.20274170200289,22.395434185399214,1.8073075166036752
2010-05-27,32.59929423747978,26.366939087758986,6.232355149720796
2010-05-28,30.46169929169057,27.77993948493521,2.6817598067553625
2010-06-01,24.44863518645333,19.148795215922387,5.299839970530943
2010-06-02,34.42764520331646,26.95785676752869,7.46978843578777
2010-06-03,37.56159716187189,29.632747707147516,7.9288494547243715
2010-06-04,29.758333068063752,20.103152876636038,9.655180191427714
2010-06-07,28.99344435469922,20.846244722137953,8.147199632561268
2010-06-08,28.978412467495765,21.988027800968204,6.990384666527561
2010-06-09,29.297825087025178,26.02082168135791,3.277003405667269
2010-06-10,35.55456774855447,28.355751261120506,7.198816487433962
2010-06-11,37.77769189725326,31.513696250239754,6.263995647013509
2010-06-14,39.47727664178706,29.245756368694224,10.231520273092833
2010-06-15,43.69801478699448,32.77142714807999,10.92658763891449
2010-06-16,45.051720853751966,23.883943779852235,21.16777707389973
2010-06-17,45.34795938945684,32.88373172456889,12.46422766488795
2010-06-18,48.23517390438248,27.27003826088058,20.9651356435019
2010-06-21,47.516056672319635,42.05473217819436,5.461324494125279
2010-06-22,45.32965135811205,31.26393303763488,14.06571832047717
2010-06-23,43.696640002065394,34.809372022755205,8.887267979310188
2010-06-24,39.60226453199192,34.41615771922101,5.186106812770909
2010-06-25,38.3125208449955,36.093369830096606,2.219151014898891
2010-06-28,39.27464169315023,34.51828935827095,4.756352334879281
2010-06-29,32.52602340639413,32.57149969916593,0.04547629277180221
2010-06-30,29.124413959125327,31.286641810833206,2.162227851707879
2010-07-01,31.246375510081926,31.891772126364458,0.6453966162825324
2010-07-02,31.50274300568978,37.035972552569184,5.533229546879404
2010-07-06,34.71335035656218,42.68034850673698,7.966998150174803
2010-07-07,40.156949946960125,42.22547981129447,2.0685298643343444
2010-07-08,43.167213684566114,47.27183802727384,4.104624342707723
2010-07-09,42.4199270852693,44.273500125381105,1.8535730401118045
2010-07-12,43.031791028085365,45.17431824333266,2.1425272152472914
2010-07-13,44.23343324343418,42.89895629079625,1.334476952637928
2010-07-14,41.96769730311031,48.38054692571863,6.41284962260832
2010-07-15,41.96121295709158,46.46619971650712,4.504986759415537
2010-07-16,36.707502278519314,48.53128155320552,11.823779274686203
2010-07-19,38.422277496800135,42.47871958282948,4.056442086029342
2010-07-20,41.631637238625544,44.82442471378478,3.1927874751592356
2010-07-21,39.77255899205615,45.313289014937325,5.540730022881178
2010-07-22,43.794048537991785,43.84016361899969,0.046115081007904735
2010-07-23,46.98902958032261,51.610542994434425,4.621513414111817
2010-07-26,49.297241724496175,50.05276779914341,0.7555260746472356
2010-07-27,50.03722297568082,49.83037941057751,0.2068435651033127
2010-07-28,47.39041421781012,52.69755883435342,5.3071446165433045
2010-07-29,46.76943896003438,54.39678794306942,7.627348983035041
2010-07-30,47.858893999909064,50.36756307480432,2.508669074895259
2010-08-02,57.21856351722808,57.82228434153509,0.6037208243070111
2010-08-03,55.38841031693168,57.383133944095846,1.9947236271641628
2010-08-04,52.989482352679104,55.822991911957956,2.833509559278852
2010-08-05,51.883008118435065,59.99628104372609,8.113272925291028
