date,tw_margin_change_20d,tw_margin_zscore,tw_foreign_flow_20d,tw_foreign_flow_zscore
2010-01-04,,,,
2010-01-05,,,,
2010-01-06,,,,
2010-01-07,,,,
2010-01-08,,,,
2010-01-11,,,,
2010-01-12,,,,
2010-01-13,,,,
2010-01-14,,,,
2010-01-15,,,,
2010-01-18,,,,
2010-01-19,,,,
2010-01-20,,,,
2010-01-21,,,,
2010-01-22,,,,
2010-01-25,,,,
2010-01-26,,,,
2010-01-27,,,,
2010-01-28,,,,
2010-01-29,,,4050871982.0,
2010-02-01,0.016691166254529044,,-15887517746.0,
2010-02-02,0.005482766689240082,,-33722871343.0,
2010-02-03,-0.008036432369414315,,-46654292606.0,
2010-02-04,-0.001362638024088092,,-65196634354.0,
2010-02-05,-0.03312974261072421,,-88380074329.0,
2010-02-06,-0.06196482711066942,,-96941518101.0,
2010-02-08,-0.0701365683264632,,-112143727946.0,
2010-02-09,-0.08066961671153883,,-119269875726.0,
2010-02-10,-0.09514515353392916,,-139856143041.0,
2010-02-22,-0.09845318584692497,,-147033114764.0,
2010-02-23,-0.09923959406802796,,-149810486300.0,
2010-02-24,-0.09054419897224808,,-151798210723.0,
2010-02-25,-0.0888523855577662,,-160669502700.0,
2010-02-26,-0.08146733768403347,,-164512288646.0,
2010-03-01,-0.07992734199314966,,-137124722607.0,
2010-03-02,-0.07631664730516396,,-122205604485.0,
2010-03-03,-0.0517117878492388,,-100993557658.0,
2010-03-04,-0.038449791292497926,,-97620534516.0,
2010-03-05,-0.0422727376824914,,-79577083788.0,
2010-03-08,-0.04747080347562649,,-54232718673.0,
2010-03-09,-0.05415832168057577,,-32803236634.0,
2010-03-10,-0.04285422937934402,,-20821444661.0,
2010-03-11,-0.04017886396229087,,-13771444875.0,
2010-03-12,-0.04061585397015843,,-3907868451.0,
2010-03-15,-0.01597186117056304,,9852040054.0,
2010-03-16,0.010856834142614069,,10298962372.0,
2010-03-17,0.009415642850242545,,46044599437.0,
2010-03-18,0.01994049220148142,,68032055069.0,
2010-03-19,0.03672230529858633,,80211937918.0,
2010-03-22,0.04499862061040494,,68872018232.0,
2010-03-23,0.04050120193044027,,65569437068.0,
2010-03-24,0.036085715454743816,,77028406290.0,
2010-03-25,0.03613959066507011,,83358110201.0,
2010-03-26,0.03215083759702608,,92745390123.0,
2010-03-29,0.03171464297580773,,97892819908.0,
2010-03-30,0.030517901290909366,,99410931312.0,
2010-03-31,0.02830993976450369,,98683576524.0,
2010-04-01,0.02623511546946089,,117951660772.0,
2010-04-02,0.026748790340718642,,115524366832.0,
2010-04-06,0.02847019404345197,-0.0855495551520172,119391571688.0,1.8925400423445973
2010-04-07,0.03132059078017102,-0.0492861818659052,121283081034.0,1.089168836975288
2010-04-08,0.035945862978001175,0.07319864998666922,118574681987.0,0.23896676785603765
2010-04-09,0.03636039877654795,0.13939374816908803,118333778270.0,0.34358649363372024
2010-04-12,0.025537890829503862,-0.1451992194078966,119304437923.0,0.22850339915727766
2010-04-13,0.010112129595637676,-0.5992963510401222,122656304855.0,-0.005404871661944512
2010-04-14,0.00448073757736811,-0.618595454937257,128787395275.0,0.5146134411180437
2010-04-15,0.019834216143310934,-0.22940273098965716,118476354385.0,0.9071782119303662
2010-04-16,0.029699216822051788,0.22411792720240656,104394529172.0,-0.37267272444992167
2010-04-19,0.01091891104737841,-0.19942515058042742,98680178746.0,-0.5707766437646781
2010-04-20,0.004533018864371741,-0.09950973133926609,101783666137.0,-0.7094366889091478
2010-04-21,0.0029406506545930355,-0.046642007209808274,110957882739.0,0.5719777776851462
2010-04-22,0.003329960401316834,0.08709693744889897,102300796095.0,-0.4407997272877204
2010-04-23,0.006642492643263775,0.359921372794598,108803392963.0,0.2914909323748604
2010-04-26,0.0037353028894409057,0.25072882286173576,127719467908.0,2.758930711206197
2010-04-27,0.006198318816229342,0.3366167346901591,123503523514.0,0.6690145337933354
2010-04-28,0.010539223751947269,0.4709742510468991,110737399743.0,-0.9895252425145686
2010-04-29,0.02089219056022218,0.8081925459106801,103530118440.0,-0.700478905830459
2010-04-30,0.010695988466462136,0.488543564614099,101221573265.0,1.2274481672170858
2010-05-03,0.011372541709040007,0.4991676756683741,87409703133.0,-0.7875422749086515
2010-05-04,0.016849326995159508,0.479418658189818,66680073279.0,-0.4250221953134314
2010-05-05,0.009806101037997061,0.26730815376753403,31576505451.0,-2.6873195341233616
2010-05-06,0.0038046836915122118,0.19013776386072875,15193981922.0,-1.4920183806938916
2010-05-07,-0.009950649600235617,-0.23249874076225616,-1446515050.0,-1.3891983683979958
2010-05-10,0.002375359030706292,-0.10346137854887905,-14092532112.0,-1.0625113481617665
2010-05-11,0.018524814918661647,-0.04116964798254381,-25391489161.0,-1.1281112897824812
2010-05-12,0.02139770036347821,0.03289505803502328,-34509312765.0,-0.39971203271443634
2010-05-13,0.011312293052678557,0.10683504791902444,-35934919628.0,0.789590501287388
2010-05-14,-0.002335423907732892,0.11189295311250454,-32803598073.0,0.060399513655103224
2010-05-17,0.008846481813781892,0.05199208509645465,-39455477761.0,-1.1601106313830691
2010-05-18,0.0021424011130573017,-0.08728189227608682,-34498014904.0,-0.060861931553815175
2010-05-19,0.005133577550993085,0.08446938809708461,-50294892793.0,-1.0616208650341048
2010-05-20,-0.0023675408214330895,-0.05098897097120593,-55737840746.0,-0.8945532892064469
2010-05-21,-0.028750147341549348,-0.7596408741950087,-70494005240.0,-1.1931932992510021
2010-05-24,-0.029582633882149767,-0.8991045702755031,-96917098434.0,-0.0011797295844184034
2010-05-25,-0.053666757721882785,-1.7035374110169454,-113506909825.0,-0.962610168158852
2010-05-26,-0.059237913368831,-1.7384828440870193,-110219486808.0,-0.44520665989261776
2010-05-27,-0.06710928665250193,-1.6601260858812947,-112199068929.0,-0.7328995560435082
2010-05-28,-0.0590795541825232,-1.6361588204763813,-128317438259.0,-0.3644889290220947
2010-05-31,-0.05779550281051682,-1.546359905021086,-121901692841.0,0.09919040611609603
2010-06-01,-0.05359754610549261,-1.384941608014188,-125803366137.0,-0.6693502995542279
2010-06-02,-0.04523422782447428,-1.2634821816816166,-110891506219.0,-0.9655310598750255
2010-06-03,-0.04447610978520533,-1.2917974296931878,-87006557028.0,1.1949323934111593
2010-06-04,-0.033106864499399924,-1.2710779522793219,-74930557844.0,-0.016116679361751096
2010-06-07,-0.03823000695039103,-1.315081762359583,-77818043864.0,-1.3166992705079335
2010-06-08,-0.03204967765483657,-1.0235391168264139,-79254833020.0,-1.2270169243825895
2010-06-09,-0.03824413518883485,-1.163721899653549,-83164935674.0,-0.739437457246509
2010-06-10,-0.03970989466954111,-1.134741325503598,-89197207021.0,0.26396376445064806
2010-06-11,-0.04324368735277451,-1.2419850101647494,-85091833438.0,0.6190364622986291
